"Source:","/home/ostoja/Elektronika/Projekti/electronic_load/electronic_load_module/electronic_load_module.kicad_sch"
"Date:","Sun Nov 26 00:37:47 2023"
"Tool:","Eeschema 7.0.9"
"Generator:","/usr/share/kicad/plugins/extract_price.py"
"Component Count:","43"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Price","Sim.Device","Sim.Enable","Sim.Library","Sim.Name","Sim.Params","Sim.Pins","Sim.Type"
"1","2"
"2","5"
"3","2"
"4","2","0.184"
"5","2"
"6","2","0.04"
"7","2","0.02"
"8","2","0.994"
"9","2","2.52"
"10","6"
"11","2"
"12","2"
"13","2"
"14","2"
"15","2","0.704"
"16","1","1.91"
"17","1","0.412"
"18","2","0.554"
"19","2","0.472"
